coord_0000_X,coord_0000_Y,origin_dist_0000,is_visible_0000,coord_1111_X,coord_1111_Y,origin_dist_1111,is_visible_1111,coord_1100_X,coord_1100_Y,origin_dist_1100,is_visible_1100,coord_0011_X,coord_0011_Y,origin_dist_0011,is_visible_0011,coord_1010_X,coord_1010_Y,origin_dist_1010,is_visible_1010,coord_0101_X,coord_0101_Y,origin_dist_0101,is_visible_0101,d_0101_1100,d_1100_0101,d_1100_1010,d_1010_1100,d_1010_0011,d_0011_1010,d_0011_1111,d_1111_0011,reading_id
-14,163,163.6,1,102,42,110.309,1,0,0,0,0,13,-44,45.8803,1,-49,-46,67.2086,1,0,0,0,0,0,0,67.2086,67.2086,62.0322,62.0322,123.762,123.762,3
-17,161,161.895,1,100,42,108.462,1,0,0,0,0,12,-44,45.607,1,-51,-48,70.0357,1,0,0,0,0,0,0,70.0357,70.0357,63.1269,63.1269,123.045,123.045,3
-18,158,159.022,1,97,39,104.547,1,0,0,0,0,10,-47,48.0521,1,-52,-50,72.1388,1,0,0,0,0,0,0,72.1388,72.1388,62.0725,62.0725,122.332,122.332,3
-15,157,157.715,1,100,37,106.626,1,0,0,0,0,12,-49,50.448,1,-50,-51,71.4213,1,0,0,0,0,0,0,71.4213,71.4213,62.0322,62.0322,123.045,123.045,3
-16,157,157.813,1,100,37,106.626,1,0,0,0,0,12,-49,50.448,1,-52,-51,72.8354,1,0,0,0,0,0,0,72.8354,72.8354,64.0312,64.0312,123.045,123.045,3
-17,159,159.906,1,98,38,105.109,1,0,0,0,0,10,-47,48.0521,1,-53,-49,72.1803,1,0,0,0,0,0,0,72.1803,72.1803,63.0317,63.0317,122.348,122.348,3
-12,161,161.447,1,102,41,109.932,1,0,0,0,0,15,-44,46.4866,1,-47,-46,65.7647,1,0,0,0,0,0,0,65.7647,65.7647,62.0322,62.0322,121.631,121.631,3
-11,161,161.375,1,105,41,112.721,1,0,0,0,0,16,-45,47.7598,1,-47,-47,66.468,1,0,0,0,0,0,0,66.468,66.468,63.0317,63.0317,123.762,123.762,3
-16,161,161.793,1,100,40,107.703,1,0,0,0,0,11,-46,47.2969,1,-52,-47,70.0928,1,0,0,0,0,0,0,70.0928,70.0928,63.0079,63.0079,123.762,123.762,3
-11,167,167.362,1,102,44,111.086,1,0,0,0,0,15,-39,41.7852,1,-47,-40,61.7171,1,0,0,0,0,0,0,61.7171,61.7171,62.0081,62.0081,120.241,120.241,3
-8,167,167.192,1,107,47,116.867,1,0,0,0,0,18,-39,42.9535,1,-44,-41,60.1415,1,0,0,0,0,0,0,60.1415,60.1415,62.0322,62.0322,123.762,123.762,3
-13,162,162.521,1,103,42,111.234,1,0,0,0,0,13,-44,45.8803,1,-51,-46,68.6804,1,0,0,0,0,0,0,68.6804,68.6804,64.0312,64.0312,124.483,124.483,3
-13,161,161.524,1,101,39,108.268,1,0,0,0,0,13,-46,47.8017,1,-49,-47,67.897,1,0,0,0,0,0,0,67.897,67.897,62.0081,62.0081,122.348,122.348,3
-8,164,164.195,1,107,42,114.948,1,0,0,0,0,21,-42,46.9574,1,-42,-44,60.8276,1,0,0,0,0,0,0,60.8276,60.8276,63.0317,63.0317,120.216,120.216,3
-8,165,165.194,1,109,45,117.924,1,0,0,0,0,23,-40,46.1411,1,-44,-42,60.8276,1,0,0,0,0,0,0,60.8276,60.8276,67.0298,67.0298,120.917,120.917,3
-11,163,163.371,1,105,42,113.088,1,0,0,0,0,19,-43,47.0106,1,-48,-44,65.1153,1,0,0,0,0,0,0,65.1153,65.1153,67.0075,67.0075,120.917,120.917,3
-8,162,162.197,1,106,40,113.296,1,0,0,0,0,22,-44,49.1935,1,-44,-45,62.9365,1,0,0,0,0,0,0,62.9365,62.9365,66.0076,66.0076,118.794,118.794,3
-4,162,162.049,1,112,41,119.269,1,0,0,0,0,27,-44,51.6236,1,-41,-44,60.1415,1,0,0,0,0,0,0,60.1415,60.1415,68,68,120.208,120.208,3
-8,161,161.199,1,110,39,116.709,1,0,0,0,0,23,-45,50.5371,1,-45,-46,64.3506,1,0,0,0,0,0,0,64.3506,64.3506,68.0074,68.0074,120.934,120.934,3
-7,161,161.152,1,108,39,114.826,1,0,0,0,0,23,-45,50.5371,1,-43,-46,62.9682,1,0,0,0,0,0,0,62.9682,62.9682,66.0076,66.0076,119.503,119.503,3
-4,161,161.05,1,113,40,119.871,1,0,0,0,0,27,-44,51.6236,1,-39,-46,60.3075,1,0,0,0,0,0,0,60.3075,60.3075,66.0303,66.0303,120.216,120.216,3
-4,165,165.048,1,112,43,119.971,1,0,0,0,0,26,-40,47.7074,1,-39,-43,58.0517,1,0,0,0,0,0,0,58.0517,58.0517,65.0692,65.0692,119.52,119.52,3
-6,167,167.108,1,110,45,118.849,1,0,0,0,0,22,-39,44.7772,1,-42,-42,59.397,1,0,0,0,0,0,0,59.397,59.397,64.0703,64.0703,121.655,121.655,3
-5,167,167.075,1,110,45,118.849,1,0,0,0,0,22,-38,43.909,1,-41,-42,58.6941,1,0,0,0,0,0,0,58.6941,58.6941,63.1269,63.1269,120.967,120.967,3
-4,166,166.048,1,112,44,120.333,1,0,0,0,0,23,-40,46.1411,1,-39,-45,59.5483,1,0,0,0,0,0,0,59.5483,59.5483,62.2013,62.2013,122.381,122.381,3
-9,165,165.245,1,110,42,117.745,1,0,0,0,0,20,-42,46.5188,1,-44,-46,63.6553,1,0,0,0,0,0,0,63.6553,63.6553,64.1249,64.1249,123.11,123.11,3
-10,169,169.296,1,106,45,115.156,1,0,0,0,0,19,-38,42.4853,1,-44,-42,60.8276,1,0,0,0,0,0,0,60.8276,60.8276,63.1269,63.1269,120.241,120.241,3
-5,175,175.071,1,112,52,123.483,1,0,0,0,0,26,-32,41.2311,1,-38,-36,52.345,1,0,0,0,0,0,0,52.345,52.345,64.1249,64.1249,120.216,120.216,3
-6,176,176.102,1,113,54,125.24,1,0,0,0,0,25,-31,39.8246,1,-40,-36,53.8145,1,0,0,0,0,0,0,53.8145,53.8145,65.192,65.192,122.348,122.348,3
-9,174,174.233,1,109,53,121.202,1,0,0,0,0,22,-33,39.6611,1,-42,-38,56.6392,1,0,0,0,0,0,0,56.6392,56.6392,64.195,64.195,122.332,122.332,3
-5,176,176.071,1,112,54,124.338,1,0,0,0,0,26,-30,39.6989,1,-37,-36,51.6236,1,0,0,0,0,0,0,51.6236,51.6236,63.2851,63.2851,120.216,120.216,3
-2,179,179.011,1,116,58,129.692,1,0,0,0,0,29,-27,39.6232,1,-33,-35,48.1041,1,0,0,0,0,0,0,48.1041,48.1041,62.514,62.514,121.631,121.631,3
-4,177,177.045,1,114,57,127.456,1,0,0,0,0,27,-28,38.8973,1,-33,-37,49.5782,1,0,0,0,0,0,0,49.5782,49.5782,60.6712,60.6712,121.631,121.631,3
0,174,174,1,117,55,129.283,1,0,0,0,0,31,-30,43.1393,1,-27,-39,47.4342,1,0,0,0,0,0,0,47.4342,47.4342,58.6941,58.6941,120.917,120.917,3
5,173,173.072,1,123,54,134.332,1,0,0,0,0,36,-31,47.5079,1,-22,-41,46.5296,1,0,0,0,0,0,0,46.5296,46.5296,58.8558,58.8558,121.631,121.631,3
4,171,171.047,1,123,53,133.933,1,0,0,0,0,34,-32,46.6905,1,-25,-41,48.0208,1,0,0,0,0,0,0,48.0208,48.0208,59.6825,59.6825,123.069,123.069,3
5,171,171.073,1,122,52,132.62,1,0,0,0,0,34,-33,47.3814,1,-26,-41,48.5489,1,0,0,0,0,0,0,48.5489,48.5489,60.531,60.531,122.348,122.348,3
4,169,169.047,1,122,50,131.848,1,0,0,0,0,32,-35,47.4236,1,-29,-43,51.8652,1,0,0,0,0,0,0,51.8652,51.8652,61.5224,61.5224,123.794,123.794,3
0,167,167,1,117,46,125.718,1,0,0,0,0,26,-37,45.2217,1,-34,-45,56.4004,1,0,0,0,0,0,0,56.4004,56.4004,60.531,60.531,123.167,123.167,3
-1,164,164.003,1,115,44,123.13,1,0,0,0,0,23,-40,46.1411,1,-36,-47,59.203,1,0,0,0,0,0,0,59.203,59.203,59.4138,59.4138,124.579,124.579,3
-3,159,159.028,1,112,40,118.929,1,0,0,0,0,19,-44,47.927,1,-38,-51,63.6003,1,0,0,0,0,0,0,63.6003,63.6003,57.4282,57.4282,125.32,125.32,3
-2,156,156.013,1,113,36,118.596,1,0,0,0,0,21,-48,52.3927,1,-36,-54,64.8999,1,0,0,0,0,0,0,64.8999,64.8999,57.3149,57.3149,124.579,124.579,3
-2,155,155.013,1,114,35,119.252,1,0,0,0,0,20,-48,52,1,-40,-54,67.2012,1,0,0,0,0,0,0,67.2012,67.2012,60.2993,60.2993,125.399,125.399,3
-6,156,156.115,1,109,34,114.18,1,0,0,0,0,15,-47,49.3356,1,-44,-52,68.1175,1,0,0,0,0,0,0,68.1175,68.1175,59.2115,59.2115,124.085,124.085,3
-6,160,160.112,1,107,37,113.217,1,0,0,0,0,15,-43,45.5412,1,-45,-48,65.7951,1,0,0,0,0,0,0,65.7951,65.7951,60.208,60.208,121.918,121.918,3
-5,163,163.077,1,108,40,115.169,1,0,0,0,0,15,-41,43.6578,1,-46,-45,64.3506,1,0,0,0,0,0,0,64.3506,64.3506,61.131,61.131,123.329,123.329,3
-7,167,167.147,1,105,43,113.464,1,0,0,0,0,12,-38,39.8497,1,-48,-42,63.7809,1,0,0,0,0,0,0,63.7809,63.7809,60.1332,60.1332,123.329,123.329,3
-7,170,170.144,1,105,46,114.634,1,0,0,0,0,14,-37,39.5601,1,-48,-41,63.1269,1,0,0,0,0,0,0,63.1269,63.1269,62.1289,62.1289,123.167,123.167,3
-8,171,171.187,1,104,47,114.127,1,0,0,0,0,13,-37,39.2173,1,-49,-41,63.8905,1,0,0,0,0,0,0,63.8905,63.8905,62.1289,62.1289,123.843,123.843,3
-7,172,172.142,1,104,47,114.127,1,0,0,0,0,14,-37,39.5601,1,-47,-41,62.3699,1,0,0,0,0,0,0,62.3699,62.3699,61.131,61.131,123.11,123.11,3
-5,172,172.073,1,106,47,115.953,1,0,0,0,0,16,-38,41.2311,1,-46,-42,62.2896,1,0,0,0,0,0,0,62.2896,62.2896,62.1289,62.1289,123.794,123.794,3
-5,169,169.074,1,106,44,114.769,1,0,0,0,0,15,-40,42.72,1,-48,-43,64.4438,1,0,0,0,0,0,0,64.4438,64.4438,63.0714,63.0714,123.843,123.843,3
-2,167,167.012,1,107,42,114.948,1,0,0,0,0,17,-41,44.3847,1,-43,-45,62.2415,1,0,0,0,0,0,0,62.2415,62.2415,60.1332,60.1332,122.43,122.43,3
4,165,165.048,1,114,42,121.491,1,0,0,0,0,24,-41,47.5079,1,-35,-45,57.0088,1,0,0,0,0,0,0,57.0088,57.0088,59.1354,59.1354,122.43,122.43,3
8,164,164.195,1,118,42,125.252,1,0,0,0,0,28,-41,49.6488,1,-29,-45,53.535,1,0,0,0,0,0,0,53.535,53.535,57.1402,57.1402,122.43,122.43,3
12,161,161.447,1,122,40,128.39,1,0,0,0,0,32,-43,53.6004,1,-24,-48,53.6656,1,0,0,0,0,0,0,53.6656,53.6656,56.2228,56.2228,122.43,122.43,3
13,157,157.537,1,123,36,128.16,1,0,0,0,0,32,-46,56.0357,1,-23,-51,55.9464,1,0,0,0,0,0,0,55.9464,55.9464,55.2268,55.2268,122.495,122.495,3
12,152,152.473,1,123,32,127.094,1,0,0,0,0,31,-50,58.8303,1,-24,-55,60.0083,1,0,0,0,0,0,0,60.0083,60.0083,55.2268,55.2268,123.24,123.24,3
8,147,147.218,1,120,27,123,1,0,0,0,0,28,-55,61.7171,1,-27,-59,64.8845,1,0,0,0,0,0,0,64.8845,64.8845,55.1453,55.1453,123.24,123.24,3
4,148,148.054,1,116,27,119.101,1,0,0,0,0,25,-54,59.5063,1,-29,-58,64.846,1,0,0,0,0,0,0,64.846,64.846,54.1479,54.1479,121.828,121.828,3
-2,149,149.013,1,112,30,115.948,1,0,0,0,0,22,-51,55.5428,1,-33,-57,65.8635,1,0,0,0,0,0,0,65.8635,65.8635,55.3263,55.3263,121.083,121.083,3
-10,150,150.333,1,104,31,108.522,1,0,0,0,0,15,-50,52.2015,1,-40,-56,68.8186,1,0,0,0,0,0,0,68.8186,68.8186,55.3263,55.3263,120.341,120.341,3
-16,150,150.851,1,99,32,104.043,1,0,0,0,0,11,-51,52.1728,1,-45,-57,72.6223,1,0,0,0,0,0,0,72.6223,72.6223,56.3205,56.3205,120.967,120.967,3
-23,151,152.742,1,93,33,98.6813,1,0,0,0,0,5,-50,50.2494,1,-51,-57,76.4853,1,0,0,0,0,0,0,76.4853,76.4853,56.4358,56.4358,120.967,120.967,3
-27,153,155.364,1,89,34,95.2733,1,0,0,0,0,2,-49,49.0408,1,-55,-56,78.492,1,0,0,0,0,0,0,78.492,78.492,57.4282,57.4282,120.241,120.241,3
-32,154,157.29,1,85,35,91.9239,1,0,0,0,0,-2,-48,48.0416,1,-60,-55,81.3941,1,0,0,0,0,0,0,81.3941,81.3941,58.4209,58.4209,120.241,120.241,3
-38,157,161.533,1,78,37,86.3308,1,0,0,0,0,-8,-46,46.6905,1,-66,-53,84.6463,1,0,0,0,0,0,0,84.6463,84.6463,58.4209,58.4209,119.52,119.52,3
-39,162,166.628,1,75,41,85.4751,1,0,0,0,0,-10,-41,42.2019,1,-68,-47,82.662,1,0,0,0,0,0,0,82.662,82.662,58.3095,58.3095,118.106,118.106,3
-40,166,170.751,1,75,44,86.954,1,0,0,0,0,-11,-38,39.5601,1,-69,-44,81.8352,1,0,0,0,0,0,0,81.8352,81.8352,58.3095,58.3095,118.828,118.828,3
-47,168,174.451,1,69,45,82.3772,1,0,0,0,0,-19,-37,41.5933,1,-77,-43,88.193,1,0,0,0,0,0,0,88.193,88.193,58.3095,58.3095,120.283,120.283,3
-49,172,178.844,1,64,48,80,1,0,0,0,0,-22,-34,40.4969,1,-79,-40,88.5494,1,0,0,0,0,0,0,88.5494,88.5494,57.3149,57.3149,118.828,118.828,3
-42,177,181.915,1,71,52,88.0057,1,0,0,0,0,-15,-30,33.541,1,-72,-36,80.4984,1,0,0,0,0,0,0,80.4984,80.4984,57.3149,57.3149,118.828,118.828,3
-39,180,184.177,1,75,56,93.6002,1,0,0,0,0,-12,-27,29.5466,1,-70,-32,76.9675,1,0,0,0,0,0,0,76.9675,76.9675,58.2151,58.2151,120.241,120.241,3
-38,184,187.883,1,76,59,96.2133,1,0,0,0,0,-12,-23,25.9422,1,-70,-28,75.3923,1,0,0,0,0,0,0,75.3923,75.3923,58.2151,58.2151,120.283,120.283,3
-33,190,192.844,1,78,63,100.265,1,0,0,0,0,-9,-19,21.0238,1,-67,-23,70.8378,1,0,0,0,0,0,0,70.8378,70.8378,58.1378,58.1378,119.553,119.553,3
-24,193,194.487,1,87,66,109.202,1,0,0,0,0,-1,-18,18.0278,1,-62,-21,65.4599,1,0,0,0,0,0,0,65.4599,65.4599,61.0737,61.0737,121.655,121.655,3
-20,188,189.061,1,91,60,109,1,0,0,0,0,0,-24,24,1,-64,-26,69.0797,1,0,0,0,0,0,0,69.0797,69.0797,64.0312,64.0312,123.843,123.843,3
-14,183,183.535,1,95,53,108.784,1,0,0,0,0,4,-30,30.2655,1,-59,-30,66.1891,1,0,0,0,0,0,0,66.1891,66.1891,63,63,123.167,123.167,3
-3,178,178.025,1,104,49,114.965,1,0,0,0,0,12,-33,35.1141,1,-49,-33,59.0762,1,0,0,0,0,0,0,59.0762,59.0762,61,61,123.24,123.24,3
-2,172,172.012,1,107,44,115.694,1,0,0,0,0,11,-37,38.6005,1,-48,-38,61.2209,1,0,0,0,0,0,0,61.2209,61.2209,59.0085,59.0085,125.607,125.607,3
0,169,169,1,107,39,113.886,1,0,0,0,0,10,-40,41.2311,1,-48,-41,63.1269,1,0,0,0,0,0,0,63.1269,63.1269,58.0086,58.0086,125.1,125.1,3
0,169,169,1,108,38,114.49,1,0,0,0,0,12,-40,41.7612,1,-49,-39,62.6259,1,0,0,0,0,0,0,62.6259,62.6259,61.0082,61.0082,123.693,123.693,3
1,170,170.003,1,108,41,115.521,1,0,0,0,0,15,-37,39.9249,1,-43,-38,57.3847,1,0,0,0,0,0,0,57.3847,57.3847,58.0086,58.0086,121.38,121.38,3
5,168,168.074,1,114,41,121.149,1,0,0,0,0,22,-37,43.0465,1,-35,-41,53.9073,1,0,0,0,0,0,0,53.9073,53.9073,57.1402,57.1402,120.615,120.615,3
4,163,163.049,1,116,38,122.066,1,0,0,0,0,19,-42,46.0977,1,-36,-48,60,1,0,0,0,0,0,0,60,60,55.3263,55.3263,125.734,125.734,3
-2,155,155.013,1,111,31,115.248,1,0,0,0,0,11,-50,51.1957,1,-39,-57,69.0652,1,0,0,0,0,0,0,69.0652,69.0652,50.4876,50.4876,128.69,128.69,3
1,153,153.003,1,114,28,117.388,1,0,0,0,0,15,-52,54.1202,1,-33,-60,68.4763,1,0,0,0,0,0,0,68.4763,68.4763,48.6621,48.6621,127.283,127.283,3
-7,154,154.159,1,110,28,113.508,1,0,0,0,0,6,-51,51.3517,1,-40,-59,71.2811,1,0,0,0,0,0,0,71.2811,71.2811,46.6905,46.6905,130.602,130.602,3
-15,158,158.71,1,97,30,101.533,1,0,0,0,0,-8,-45,45.7056,1,-49,-52,71.4493,1,0,0,0,0,0,0,71.4493,71.4493,41.5933,41.5933,129.035,129.035,3
-15,165,165.68,1,95,35,101.242,1,0,0,0,0,-13,-38,40.1622,1,-52,-46,69.4262,1,0,0,0,0,0,0,69.4262,69.4262,39.8121,39.8121,130.357,130.357,3
-17,167,167.863,1,93,39,100.846,1,0,0,0,0,-11,-38,39.5601,1,-57,-44,72.0069,1,0,0,0,0,0,0,72.0069,72.0069,46.3897,46.3897,129.402,129.402,3
-21,166,167.323,1,90,39,98.0867,1,0,0,0,0,-9,-40,41,1,-60,-46,75.6042,1,0,0,0,0,0,0,75.6042,75.6042,51.3517,51.3517,126.657,126.657,3
-26,166,168.024,1,86,39,94.4299,1,0,0,0,0,-11,-39,40.5216,1,-64,-45,78.2368,1,0,0,0,0,0,0,78.2368,78.2368,53.3385,53.3385,124.471,124.471,3
-27,168,170.156,1,84,42,93.9149,1,0,0,0,0,-13,-36,38.2753,1,-62,-43,75.452,1,0,0,0,0,0,0,75.452,75.452,49.4975,49.4975,124.471,124.471,3
-24,169,170.696,1,87,44,97.4936,1,0,0,0,0,-8,-34,34.9285,1,-57,-42,70.8025,1,0,0,0,0,0,0,70.8025,70.8025,49.6488,49.6488,122.919,122.919,3
-23,171,172.54,1,90,47,101.533,1,0,0,0,0,-3,-33,33.1361,1,-55,-40,68.0074,1,0,0,0,0,0,0,68.0074,68.0074,52.469,52.469,122.674,122.674,3
-24,170,171.686,1,89,46,100.185,1,0,0,0,0,-3,-35,35.1283,1,-59,-43,73.0068,1,0,0,0,0,0,0,73.0068,73.0068,56.5685,56.5685,122.577,122.577,3
-28,167,169.331,1,87,43,97.0464,1,0,0,0,0,-8,-40,40.7922,1,-66,-46,80.4487,1,0,0,0,0,0,0,80.4487,80.4487,58.3095,58.3095,126.151,126.151,3
-30,166,168.689,1,84,40,93.0376,1,0,0,0,0,-10,-42,43.1741,1,-70,-47,84.3149,1,0,0,0,0,0,0,84.3149,84.3149,60.208,60.208,124.74,124.74,3
